       lat_sta1        lon_sta1        lat_sta2        lon_sta2            vg        err-vg     sta1         sta2
       24.06000        55.75000        37.07000        25.53000          3.65000      0.2       AE.ALN       GE.APE
       24.06000        55.75000        29.67000        34.95000          3.79000      0.2       AE.ALN       GE.EIL
       24.06000        55.75000        33.01500        35.39500          3.22000      0.2       AE.ALN      IS.MMB2
       24.06000        55.75000        36.64000        29.08000          4.03000      0.2       AE.ALN      KO.FETY
       24.06000        55.75000        40.26000        28.34000          3.40000      0.2       AE.ALN      KO.KCTX
       24.06000        55.75000        40.37000        28.88000          3.94000      0.2       AE.ALN      KO.MDNY
       24.06000        55.75000        38.38000        39.31000          3.51000      0.2       AE.ALN      KO.SVRC
       24.06000        55.75000        39.00000        70.32000          3.12000      0.2       AE.ALN      TJ.GARM
       24.06000        55.75000        37.53000        71.66000          3.25000      0.2       AE.ALN     TJ.MANEM
       24.94000        52.85000        32.80000        52.81000          3.87000      0.2       AE.JRN      IB.NASN
       24.94000        52.85000        31.67000        49.29000          3.12000      0.2       AE.JRN      IR.AMIS
       24.94000        52.85000        29.14000        58.45000          3.79000      0.2       AE.JRN      IR.KBAM
       24.94000        52.85000        33.02000        35.40000          3.14000      0.0       AE.JRN      IS.MMB2
       24.94000        52.85000        41.48000        28.29000          3.46000      0.2       AE.JRN      KO.CTYL
       24.94000        52.85000        39.37000        33.71000          3.26000      0.2       AE.JRN      KO.KAMT
       24.94000        52.85000        41.25000        29.04000          3.22000      0.2       AE.JRN      KO.KLYT
       24.94000        52.85000        38.55000        30.55000          3.51000      0.2       AE.JRN      KO.SHUT
       24.94000        52.85000        39.64000        35.32000          3.24000      0.2       AE.JRN       KO.YOZ
       24.94000        52.85000        39.28000        67.72000          3.66000      0.2       AE.JRN      TJ.GEZN
       25.23000        56.24000        36.72000        25.49500          3.77625      0.0       AE.MSF       GE.APE
       25.33500        56.23000        35.11000        26.22000          3.85750      0.0       AE.MSF       GE.ZKR
       25.37000        56.16000        23.52000        45.50000          3.92000      0.2       AE.MSF      II.RAYN
       25.37000        56.16000        36.71000        49.80000          3.09000      0.2       AE.MSF      IR.JIR1
       25.22945        56.25226        32.93837        35.43938          3.81900      0.1       AE.MSF      IS.MMA1
       25.41750        56.20000        40.12750        28.10500          3.68125      0.3       AE.MSF      KO.BALB
       25.33500        56.23000        37.46000        30.59000          3.37500      0.2       AE.MSF       KO.BCK
       25.37000        56.16000        41.85000        26.74000          3.82000      0.2       AE.MSF      KO.EDRB
       25.37000        56.16000        39.04000        29.41000          3.60000      0.2       AE.MSF      KO.GEDZ
       25.08843        56.18807        40.30557        26.65860          3.56834      0.3       AE.MSF      KO.GELI
       25.37000        56.16000        38.88000        31.72000          3.91000      0.2       AE.MSF      KO.KIZT
       25.02000        56.19333        40.72500        29.16500          3.67917      0.1       AE.MSF      KO.KLYT
       25.33500        56.23000        38.20000        32.36000          3.76000      0.1       AE.MSF      KO.LADK
       25.41750        56.20000        37.26250        28.28000          3.81625      0.2       AE.MSF       KO.YER
       26.05000        56.14000        37.07000        25.53000          3.63000      0.2       AE.SHM       GE.APE
       26.05000        56.14000        41.41000        43.49000          3.73000      0.2       AE.SHM       GO.AKH
       26.05000        56.14000        23.52000        45.50000          3.90000      0.2       AE.SHM      II.RAYN
       26.05000        56.14000        37.56000        49.09000          3.89000      0.2       AE.SHM      IR.CSN1
       25.70333        55.82000        33.01667        35.40333          3.58667      0.2       AE.SHM      IS.MMA0
       25.62667        56.03333        40.64667        29.13667          3.65667      0.2       AE.SHM      KO.ARMT
       26.05000        56.14000        37.95000        27.89000          4.02000      0.2       AE.SHM      KO.AYDB
       26.05000        56.14000        36.82000        28.65000          3.62000      0.2       AE.SHM      KO.DALY
       26.05000        56.14000        41.65000        35.26000          3.52000      0.2       AE.SHM      KO.DIKM
       25.67500        56.22000        40.30500        28.10000          3.59500      0.4       AE.SHM       KO.EDC
       25.54500        56.10000        40.53250        27.81000          3.68750      0.4       AE.SHM      KO.KRBG
       26.05000        56.14000        35.28000        33.53000          3.82000      0.2       AE.SHM       KO.LFK
       25.53000        55.66000        35.11000        26.22000          3.91000      0.2       AE.UMQ       GE.ZKR
       25.53000        55.66000        41.41000        43.49000          3.69000      0.2       AE.UMQ       GO.AKH
       25.53000        55.66000        43.96000        42.69000          3.81000      0.2       AE.UMQ       II.KIV
       25.53000        55.66000        23.52000        45.50000          3.67000      0.2       AE.UMQ      II.RAYN
       25.53000        55.66000        33.01500        35.40500          3.52000      0.2       AE.UMQ     IS.MMA0B
       25.53000        55.66000        40.18000        34.63000          3.28000      0.2       AE.UMQ      KO.CORM
       25.26000        56.05333        40.88667        28.12333          3.81000      0.1       AE.UMQ      KO.CRLT
       25.53000        55.66000        39.14000        42.55000          4.00000      0.2       AE.UMQ      KO.MLAZ
       25.03286        56.12286        40.71286        30.22429          3.59857      0.2       AE.UMQ      KO.SILT
       25.53000        55.66000        38.15000        41.20000          3.61000      0.2       AE.UMQ      KO.SVAN
        9.03000        38.77000        37.07000        25.53000          3.77500      0.2      AF.AAUS       GE.APE
        8.96500        38.72500        14.57000        44.39000          3.20000      0.1      AF.AAUS      GE.DAMY
        9.03000        38.77000        34.53000        69.08500          3.68000      0.0      AF.AAUS       GE.KBU
        8.96260        38.72490        35.16055        25.47930          3.78250      0.1      AF.AAUS      GE.LAST
