,Station,Latitude,Longitude
0,AE.ALN,24.06,55.75
1,AE.JRN,24.94,52.85
2,AE.MSF,25.206670000000003,56.22
3,AE.SHM,26.05,56.14
4,AE.UMQ,25.53,55.66
5,AF.AAUS,9.03,38.77
6,AF.ANKE,9.58135,39.7409
7,AF.DESE,11.267,39.75607
8,DN.ASU,24.63,55.33
9,G.ATD,11.53,42.847
10,GE.APE,37.07,25.53
11,GE.BGIO,31.7469,35.14245
12,GE.CSS,34.96055,33.3305
13,GE.DAMY,14.57,44.39
14,GE.EIL,29.85495,34.9906
15,GE.ISP,37.84,30.51
16,GE.JER,31.7719,35.1972
17,GE.KBU,34.53,69.085
18,GE.KRIS,35.178,25.503
19,GE.KSDI,33.1775,35.5925
20,GE.LAST,35.16,25.48
21,GE.MALT,38.3134,38.4273
22,GE.MLR,45.49,25.95
23,GE.MRNI,33.035579999999996,35.419509999999995
24,GE.SANT,36.37,25.46
25,GE.SOCY,12.19,53.99
26,GE.ZKR,35.1147,26.217
27,GO.AKH,41.335,43.545
28,GO.BATM,41.604,41.6936
29,GO.BGD,41.26,43.6
30,GO.CHVG,42.72,42.08
31,GO.DDFL,41.4458,46.1183
32,GO.DGRG,41.45,45.37
33,GO.GUDG,42.46,44.48
34,GO.KZRT,41.3866,44.3987
35,GO.LGD,41.83,46.24
36,GO.ONI,42.5905,43.4525
37,GO.SEAG,41.76,44.8
38,GO.TBLG,41.73,44.74
39,GO.TRLG,41.54,44.1
40,HL.ARG,36.662,28.63
41,HL.RDO,41.15,25.54
42,HT.ALN,40.9,26.05
43,IB.AHRM,29.1063,51.5779
44,IB.ASAO,34.568,50.025
45,IB.BJRD,37.7,57.408
46,IB.BNDS,27.399,56.171
47,IB.BSRN,31.965,59.126
48,IB.CHBR,25.595,60.482
49,IB.CHTH,35.908,51.126
50,IB.DAMV,35.63,51.971
51,IB.GHIR,28.286,52.987
52,IB.GHVR,34.48,51.245
53,IB.GRMI,38.81,47.894
54,IB.KHMZ,33.739,49.959
55,IB.KRBR,29.99685,56.68233000000001
56,IB.MAKU,39.355,44.683
57,IB.MRVT,37.66,56.09
58,IB.NASN,32.799,52.808
59,IB.SHGR,32.108,48.801
60,IB.SHRO,36.009,56.013
61,IB.SHRT,33.646,60.291
62,IB.SNGE,35.093,47.347
63,IB.TABS,33.6223,57.12133000000001
64,IB.THKV,35.916,50.879
65,IB.YZKH,32.455,54.677
66,IB.ZHSF,29.61,60.77
67,IB.ZNJK,36.67,48.685
68,II.ABKT,37.93,58.12
69,II.KIV,43.96,42.69
70,II.RAYN,23.52,45.5
71,II.UOSS,24.95,56.2
72,IQ.BHD,33.2765,44.3857
73,IQ.KDDA,37.2125,42.8207
74,IQ.KEBG,36.10667,44.54
75,IQ.KEHH,36.68,45.05
76,IQ.KEKZ,35.9893,44.097
77,IQ.KESM,36.98,44.2
78,IQ.KSBB,35.04,45.71
79,IQ.KSJS,35.5,45.35
80,IQ.KSSS,35.7696,46.2362
81,IQ.KSWW,36.1493,45.2624
82,IQ.MSL,36.3817,43.1483
83,IR.ABH1,30.6,50.25
84,IR.AFRZ,33.4252,59.015
85,IR.AHWZ,31.3299,48.6438
86,IR.AMIS,31.67,49.29
87,IR.ANAR,33.1897,53.7288
88,IR.BDRS,33.9543,48.8808
89,IR.BMDN,33.6716,48.8246
90,IR.BNB,27.45,56.54
